9203;# doc = hse_day.2.txt;;;;;;;;;;;;;;;;
9204;# speaker = Катя;;;;;;;;;;;;;;;;
9205;# sent = 760;;;;;;;;;;;;;;;;
9206;;Аа;А;INTJ;;;   _Аа_ В общем ,;а;а;;;;;INTJ;АА;NONLEX;А
9207;;В;В;PR;;;  Аа _В_ общем , я;в;;;;;;PR;В;PR;В
9208;;общем;ОБЩИЙ;A - loc sg plen m -;;; Аа В _общем_ , я рассказываю;м;е;щ;б;о;;A;ОБЩИЙ;A - loc sg plen m -;Й
9209;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9210;;я;Я;SPRO sg 1p - nom;;;В общем , _я_ рассказываю про свой;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
9211;;рассказываю;РАССКАЗЫВАТЬ;V ipf praes sg indic - 1p;;;общем , я _рассказываю_ про свой день;ю;а;в;ы;з;а;V;РАССКАЗЫВАТЬ;V ipf praes sg indic - 1p;Ь
9212;;про;ПРО;PR;;;, я рассказываю _про_ свой день вышки;о;р;п;;;;PR;ПРО;PR;О
9213;;свой;СВОЙ;APRO - acc sg plen m inan;;;я рассказываю про _свой_ день вышки .;й;о;в;с;;;APRO;СВОЙ;A - acc sg plen m inan;Й
9214;;день;ДЕНЬ;S m inan acc sg;;;рассказываю про свой _день_ вышки . ;ь;н;е;д;;;S;ДЕНЬ;S m inan acc sg;Ь
9215;;вышки;ВЫШКА;S persn f inan gen sg;;;про свой день _вышки_ .  ;и;к;ш;ы;в;;S;ВЫШКА;S f inan gen sg;А
9216;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
9217;;;;;;;;;;;;;;;;;
9218;# sent = 761;;;;;;;;;;;;;;;;
9219;;Аа;А;INTJ;;;.   _Аа_ сначала началось все;а;а;;;;;INTJ;АА;NONLEX;А
9220;;сначала;СНАЧАЛА;ADV -;;;  Аа _сначала_ началось все с;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -;А
9221;;началось;НАЧАТЬСЯ;V pf praet sg indic n -;;; Аа сначала _началось_ все с того;ь;с;о;л;а;ч;V;НАЧАТЬСЯ;V pf praet sg indic n -;Я
9222;;все;ВСЕ;SPRO n inan nom sg;;;Аа сначала началось _все_ с того ,;е;с;в;;;;S;ВСЕ;S - - acc pl;Е
9223;;с;С;PR;;;сначала началось все _с_ того , что;с;;;;;;PR;С;PR;С
9224;;того;ТО;SPRO n - gen sg;;;началось все с _того_ , что я;о;г;о;т;;;SPRO;ТО;S n - gen sg;О
9225;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9226;;что;ЧТО;CONJ;;;с того , _что_ я приехала туда;о;т;ч;;;;CONJ;ЧТО;CONJ;О
9227;;я;Я;SPRO sg 1p - nom;;;того , что _я_ приехала туда на;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
9228;;приехала;ПРИЕХАТЬ;V pf praet sg indic f -;;;, что я _приехала_ туда на двадцать;а;л;а;х;е;и;V;ПРИЕХАТЬ;V pf praet sg indic f -;Ь
9229;;туда;ТУДА;ADVPRO;;;что я приехала _туда_ на двадцать минут;а;д;у;т;;;ADV;ТУДА;ADV -;А
9230;;на;НА;PR;;;я приехала туда _на_ двадцать минут раньше;а;н;;;;;PR;НА;PR;А
9231;;двадцать;ДВАДЦАТЬ;NUM acc - -;;;приехала туда на _двадцать_ минут раньше ,;ь;т;а;ц;д;а;NUM;ДВАДЦАТЬ;NUM acc - -;Ь
9232;;минут;МИНУТА;S f inan gen pl;;;туда на двадцать _минут_ раньше , на;т;у;н;и;м;;S;МИНУТА;S f inan gen pl;А
9233;;раньше;РАНО;ADV comp;;;на двадцать минут _раньше_ , на метро;е;ш;ь;н;а;р;ADV;РАНО;ADV comp;О
9234;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9235;;на;НА;PR;;;минут раньше , _на_ метро Парк Культуры;а;н;;;;;PR;НА;PR;А
9236;;метро;МЕТРО;S n inan loc sg;;;раньше , на _метро_ Парк Культуры ,;о;р;т;е;м;;S;МЕТРО;S n inan nonflex -;О
9237;;Парк;ПАРК;S m inan nom sg;;;, на метро _Парк_ Культуры , потому что;к;р;а;п;;;S;ПАРК;S m inan nom sg;К
9238;;Культуры;КУЛЬТУРА;S f inan gen sg;;;на метро Парк _Культуры_ , потому что мой;ы;р;у;т;ь;л;S;КУЛЬТУРА;S f inan gen sg;А
9239;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
9240;;потому что;потому что;CONJ;;;Парк Культуры , _потому что_ мой Яндекс транспорт;о;т;ч; ;у;м;CONJ;потому что;CONJ;о
9241;;мой;МОЙ;APRO - nom sg plen m -;;;Культуры , потому что _мой_ Яндекс транспорт всегда;й;о;м;;;;APRO;МОЙ;A - nom sg plen m -;Й
9242;;Яндекс;ЯНДЕКС;S m inan nom sg;;;, потому что мой _Яндекс_ транспорт всегда мне;с;к;е;д;н;я;S;ЯНДЕКС;S m inan nom sg;С
9243;;транспорт;ТРАНСПОРТ;S m inan nom sg;;;потому что мой Яндекс _транспорт_ всегда мне показывает;т;р;о;п;с;н;S;ТРАНСПОРТ;S m inan nom sg;Т
